Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
130000.0,3.0,1512.0,5.0,9.0,1972.0,86.0,43.0,9.0,Українки,34.0
120000.0,3.0,1091.0,3.0,16.0,2002.0,110.0,54.0,13.0,Драгоманова,43.0
250000.0,2.0,2874.0,11.0,23.0,2012.0,87.0,56.0,31.0,Дніпровська,0.0
125000.0,3.0,1322.0,19.0,34.0,2009.0,69.0,37.0,14.0,Заболотного,18.0
79235.0,2.0,1152.0,14.0,34.0,2009.0,69.0,37.0,14.0,Заболотного,18.0
113261.0,2.0,1421.0,9.0,36.0,1961.0,69.0,37.0,14.0,Перемоги,18.0
62000.0,1.0,1403.0,24.0,25.0,2009.0,69.0,37.0,14.0,Сверстюка,18.0
131000.0,2.0,2620.0,15.0,25.0,2016.0,50.0,37.0,21.0,Липківського,0.0
300000.0,1.0,4000.0,18.0,24.0,2015.0,75.0,28.0,25.0,Маккейна,22.0
108000.0,3.0,1200.0,3.0,24.0,2009.0,90.0,54.0,10.0,Дніпровська,26.0
47000.0,1.0,1621.0,2.0,5.0,1964.0,29.0,15.0,5.0,Волгоградська,9.0
57000.0,2.0,919.0,2.0,25.0,2009.0,62.0,45.0,14.0,Новопольова,3.0
135482.1,2.0,1782.6,1.0,25.0,2015.0,76.0,37.0,14.0,Драгоманова,25.0
149000.0,4.0,1192.0,3.0,8.0,2019.0,125.0,72.0,17.0,Лебедєва,36.0
85000.0,2.0,1977.0,1.0,5.0,1962.0,43.0,27.0,4.0,Лебедєва,12.0
123900.0,2.0,1721.0,6.0,30.0,2009.0,72.0,46.0,15.0,Драгомирова,11.0
150000.0,1.0,2727.0,3.0,17.0,2019.0,55.0,37.0,14.0,Лейпцизька,4.0
285000.0,3.0,2568.0,4.0,22.0,2014.0,111.0,60.0,35.0,Глибочицька,16.0
115000.0,3.0,1106.0,5.0,9.0,2005.0,104.0,65.0,20.0,Салютна,19.0
45900.0,2.0,1020.0,1.0,5.0,1965.0,45.0,30.0,4.0,Метрологічна,11.0
60000.0,2.0,952.0,18.0,25.0,2009.0,63.0,26.0,17.0,Північно-Сирецька,20.0
115000.0,2.0,1742.0,15.0,25.0,2018.0,66.0,30.0,18.0,Правди,18.0
44000.0,1.0,1023.0,24.0,26.0,2018.0,43.0,28.0,12.0,Вернадського,3.0
85000.0,2.0,1700.0,4.0,25.0,2016.0,50.0,25.0,10.0,Пчілки,15.0
183693.7,2.0,2213.2,8.0,25.0,2019.0,83.0,44.0,15.0,Лейпцизька,24.0
200000.0,3.0,2083.0,2.0,5.0,1959.0,96.0,73.0,7.0,Басейна,16.0
138000.0,2.0,2060.0,13.0,25.0,2011.0,67.0,37.0,14.0,Шаповала,16.0
39500.0,1.0,1013.0,20.0,25.0,2009.0,39.0,37.0,10.0,Бережанська,0.0
123500.0,2.0,1506.0,6.0,26.0,2009.0,82.0,37.0,18.0,Бойчука,27.0
80000.0,2.0,1250.0,11.0,16.0,2009.0,64.0,35.0,16.0,Перемоги,13.0
1976000.0,5.0,3800.0,17.0,25.0,2019.0,520.0,37.0,20.0,Івана Федорова,463.0
320000.0,2.0,3232.0,13.0,24.0,2019.0,99.0,47.0,13.0,Антоновича,39.0
